id,x,y
0,-170.034,-616.373
1,-148.78,-616.373
2,-127.525,-616.373
3,-106.271,-616.373
4,-85.017,-616.373
5,-63.763,-616.373
6,-42.508,-616.373
7,-21.254,-616.373
8,0,-616.373
9,21.254,-616.373
10,42.508,-616.373
11,63.763,-616.373
12,85.017,-616.373
13,106.271,-616.373
14,127.525,-616.373
15,148.78,-616.373
16,170.034,-616.373
17,-212.542,-595.119
18,-191.288,-595.119
19,-170.034,-595.119
20,-148.78,-595.119
21,-127.525,-595.119
22,-106.271,-595.119
23,-85.017,-595.119
24,-63.763,-595.119
25,-42.508,-595.119
26,-21.254,-595.119
27,0,-595.119
28,21.254,-595.119
29,42.508,-595.119
30,63.763,-595.119
31,85.017,-595.119
32,106.271,-595.119
33,127.525,-595.119
34,148.78,-595.119
35,170.034,-595.119
36,191.288,-595.119
37,212.542,-595.119
38,-255.051,-573.864
39,-233.797,-573.864
40,-212.542,-573.864
41,-191.288,-573.864
42,-170.034,-573.864
43,-148.78,-573.864
44,-127.525,-573.864
45,-106.271,-573.864
46,-85.017,-573.864
47,-63.763,-573.864
48,-42.508,-573.864
49,-21.254,-573.864
50,0,-573.864
51,21.254,-573.864
52,42.508,-573.864
53,63.763,-573.864
54,85.017,-573.864
55,106.271,-573.864
56,127.525,-573.864
57,148.78,-573.864
58,170.034,-573.864
59,191.288,-573.864
60,212.542,-573.864
61,233.797,-573.864
62,255.051,-573.864
63,-297.559,-552.61
64,-276.305,-552.61
65,-255.051,-552.61
66,-233.797,-552.61
67,-212.542,-552.61
68,-191.288,-552.61
69,-170.034,-552.61
70,-148.78,-552.61
71,-127.525,-552.61
72,-106.271,-552.61
73,-85.017,-552.61
74,-63.763,-552.61
75,-42.508,-552.61
76,-21.254,-552.61
77,0,-552.61
78,21.254,-552.61
79,42.508,-552.61
80,63.763,-552.61
81,85.017,-552.61
82,106.271,-552.61
83,127.525,-552.61
84,148.78,-552.61
85,170.034,-552.61
86,191.288,-552.61
87,212.542,-552.61
88,233.797,-552.61
89,255.051,-552.61
90,276.305,-552.61
91,-318.814,-531.356
92,-297.559,-531.356
93,-276.305,-531.356
94,-255.051,-531.356
95,-233.797,-531.356
96,-212.542,-531.356
97,-191.288,-531.356
98,-170.034,-531.356
99,-148.78,-531.356
100,-127.525,-531.356
101,-106.271,-531.356
102,-85.017,-531.356
103,-63.763,-531.356
104,-42.508,-531.356
105,-21.254,-531.356
106,0,-531.356
107,21.254,-531.356
108,42.508,-531.356
109,63.763,-531.356
110,85.017,-531.356
111,106.271,-531.356
112,127.525,-531.356
113,148.78,-531.356
114,170.034,-531.356
115,191.288,-531.356
116,212.542,-531.356
117,233.797,-531.356
118,255.051,-531.356
119,276.305,-531.356
120,297.559,-531.356
121,318.814,-531.356
122,-361.322,-510.102
123,-340.068,-510.102
124,-318.814,-510.102
125,-297.559,-510.102
126,-276.305,-510.102
127,-255.051,-510.102
128,-233.797,-510.102
129,-212.542,-510.102
130,-191.288,-510.102
131,-170.034,-510.102
132,-148.78,-510.102
133,-127.525,-510.102
134,-106.271,-510.102
135,-85.017,-510.102
136,-63.763,-510.102
137,-42.508,-510.102
138,-21.254,-510.102
139,0,-510.102
140,21.254,-510.102
141,42.508,-510.102
142,63.763,-510.102
143,85.017,-510.102
144,106.271,-510.102
145,127.525,-510.102
146,148.78,-510.102
147,170.034,-510.102
