index_pb,PB_INA,channel_shihai,rms_no,rms_cab,rms_cab_hv
0,0,1,1.29742,7.85957,4.623
1,1,2.000,1.283,7.527,4.397
2,2,3.000,1.244,7.568,4.403
3,3,4.000,1.075,7.186,4.122
4,4,5.000,1.059,7.466,4.252
5,5,6.000,1.186,7.459,4.314
6,6,7.000,1.237,7.308,4.198
7,7,8.000,1.087,7.187,4.188
8,8,9.000,1.085,1.241,1.198
9,9,10.000,1.084,6.813,3.886
10,10,11.000,1.000,6.963,4.159
11,11,12.000,1.237,7.314,4.266
12,12,13.000,1.088,6.676,3.848
13,13,14.000,1.151,7.062,4.163
14,14,15.000,1.144,6.464,3.772
15,15,16.000,1.134,6.736,3.920
16,16,17.000,1.196,6.390,3.748
17,17,18.000,1.112,1.280,1.214
18,18,20.000,1.143,6.272,3.689
19,19,21.000,1.153,6.226,3.595
20,20,22.000,1.132,6.146,3.633
21,21,23.000,1.144,6.295,3.698
22,22,24.000,1.139,5.700,3.345
23,23,25.000,1.141,5.901,3.451
24,24,26.000,1.147,5.741,3.360
25,25,27.000,1.159,5.767,3.484
26,26,28.000,1.208,1.380,1.266
27,27,29.000,1.210,5.665,3.337
28,28,30.000,1.129,5.161,3.125
29,29,31.000,1.140,5.179,3.119
30,30,32.000,1.150,5.377,3.282
31,31,33.000,1.143,4.814,2.965
32,32,34.000,1.184,5.166,3.113
33,33,35.000,1.395,4.836,2.940
34,34,36.000,1.160,4.873,2.981
35,35,37.000,1.208,1.407,1.289
36,36,39.000,1.313,1.814,1.592
37,37,40.000,1.259,1.903,1.487
38,38,41.000,1.138,1.895,1.453
39,39,42.000,1.083,1.903,1.426
40,40,43.000,1.010,2.020,1.445
41,41,44.000,1.093,2.053,1.482
42,42,45.000,1.043,2.128,1.529
43,43,46.000,1.044,2.253,1.570
44,44,47.000,1.073,1.141,1.103
45,45,48.000,1.087,2.438,1.651
46,46,49.000,1.060,2.250,1.615
47,47,50.000,1.346,2.980,1.983
48,48,51.000,1.148,2.611,1.747
49,49,52.000,1.139,2.716,1.831
50,50,53.000,1.105,2.677,1.741
51,51,54.000,1.195,2.846,1.952
52,52,55.000,1.184,2.992,1.968
53,53,56.000,1.145,1.109,1.136
54,54,58.000,1.206,3.039,2.096
55,55,59.000,1.181,2.749,2.055
56,56,60.000,1.243,3.097,2.159
57,57,61.000,1.184,3.093,2.106
58,58,62.000,1.206,3.239,2.128
59,59,63.000,1.191,3.266,2.211
60,60,64.000,1.229,3.317,2.338
61,61,65.000,1.262,3.420,2.307
62,62,66.000,1.200,1.230,1.232
63,63,67.000,1.257,3.647,2.454
64,64,68.000,1.239,3.687,2.484
65,65,69.000,1.194,3.767,2.452
66,66,70.000,1.203,3.631,2.380
67,67,71.000,1.193,3.988,2.585
68,68,72.000,1.238,3.916,2.630
69,69,73.000,1.222,4.151,2.721
70,70,74.000,1.111,4.004,2.602
71,71,75.000,1.256,1.247,1.247
72,0,77.000,1.122,4.961,2.985
73,1,78.000,0.973,5.140,3.080
74,2,79.000,1.107,5.095,3.005
75,3,80.000,1.173,4.923,3.020
76,4,81.000,1.110,4.817,2.951
77,5,82.000,1.001,4.809,2.894
78,6,83.000,1.014,4.678,2.811
79,7,84.000,1.027,4.943,3.040
80,8,85.000,1.092,1.138,1.180
81,9,86.000,1.243,4.692,2.883
82,10,87.000,1.145,4.664,2.770
83,11,88.000,1.223,4.891,2.965
84,12,89.000,1.051,4.324,2.592
85,13,90.000,1.174,4.897,3.001
86,14,91.000,1.221,4.259,2.667
87,15,92.000,1.198,4.376,2.672
88,16,93.000,1.065,4.279,2.619
89,17,94.000,1.210,1.306,1.293
90,18,96.000,1.122,4.462,2.746
91,19,97.000,1.172,4.301,2.699
92,20,98.000,1.094,4.285,2.618
93,21,99.000,1.088,4.146,2.550
94,22,100.000,1.136,4.062,2.625
95,23,101.000,1.143,4.113,2.584
96,24,102.000,1.130,4.057,2.521
97,25,103.000,1.179,3.800,2.400
98,26,104.000,1.213,1.271,1.278
99,27,105.000,1.136,3.730,2.335
100,28,106.000,1.167,3.724,2.376
101,29,107.000,1.153,3.639,2.331
102,30,108.000,1.153,3.607,2.325
103,31,109.000,1.120,3.452,2.184
104,32,110.000,1.205,3.543,2.256
105,33,111.000,1.172,3.275,2.118
106,34,112.000,1.176,3.335,2.158
107,35,113.000,1.093,1.159,1.071
108,36,115.000,1.232,1.660,1.435
109,37,116.000,1.123,1.524,1.383
110,38,117.000,1.034,1.522,1.286
111,39,118.000,1.220,1.671,1.387
112,40,119.000,1.191,1.808,1.499
113,41,120.000,1.077,1.689,1.346
114,42,121.000,1.286,1.776,1.502
115,43,122.000,1.091,1.725,1.358
116,44,123.000,1.146,1.231,1.251
117,45,124.000,0.999,1.787,1.278
118,46,125.000,1.104,1.829,1.422
