J1 pin; Signal;PB_INA;ASIC_Channel; JA pin; JA signal; JA local; JB pin; JB signal; JB local; JC pin; JC signal; JC local; JD pin; JD signal; JD local
1;PB_INA0;0;0;32;A_SIPM1;A_Anode_D2;;;;;;;;;
2;PB_INA1;1;1;31;A_SIPM2;A_Anode_D3;;;;;;;;;
3;VBIAS_A;;;;;;;;;;;;;;
4;VBIAS_A;;;;;;;;;;;;;;
5;PB_INA2;2;2;28;A_SIPM0;A_Anode_D1;;;;;;;;;
6;PB_INA3;3;3;27;A_SIPM3;A_Anode_D4;;;;;;;;;
7;VBIAS_A;;;;;;;;;;;;;;
8;VBIAS_A;;;;;;;;;;;;;;
9;PB_INA4;4;4;24;A_SIPM5;A_Anode_D6;;;;;;;;;
10;PB_INA5;5;5;23;A_SIPM6;A_Anode_D7;;;;;;;;;
11;VBIAS_A;;;;;;;;;;;;;;
12;VBIAS_A;;;;;;;;;;;;;;
13;PB_INA6;6;6;20;A_SIPM4;A_Anode_D5;;;;;;;;;
14;PB_INA7;7;7;19;A_SIPM7;A_Anode_D8;;;;;;;;;
15;VBIAS_A;;;;;;;;;;;;;;
16;VBIAS_A;;;;;;;;;;;;;;
17;PB_INA9;9;9;16;A_SIPM9;A_Anode_D10;;;;;;;;;
18;PB_INA10;10;11;15;A_SIPM10;A_Anode_D11;;;;;;;;;
19;VBIAS_A;;;;;;;;;;;;;;
20;VBIAS_A;;;;;;;;;;;;;;
21;PB_INA11;11;10;12;A_SIPM8;A_Anode_D9;;;;;;;;;
22;PB_INA12;12;13;11;A_SIPM11;A_Anode_D12;;;;;;;;;
23;VBIAS_A;;;;;;;;;;;;;;
24;VBIAS_A;;;;;;;;;;;;;;
25;PB_INA13;13;12;8;A_SIPM13;A_Anode_D14;;;;;;;;;
26;PB_INA14;14;15;7;A_SIPM14;A_Anode_D15;;;;;;;;;
27;VBIAS_A;;;;;;;;;;;;;;
28;VBIAS_A;;;;;;;;;;;;;;
29;PB_INA15;15;14;4;A_SIPM12;A_Anode_D13;;;;;;;;;
30;PB_INA16;16;16;3;A_SIPM15;A_Anode_D16;;;;;;;;;
31;VBIAS_A;;;;;;;;;;;;;;
32;VBIAS_A;;;;;;;;;;;;;;
